ward,black_1990,pop_1990,black_2000,pop_2000,black_2010,pop_2010,black_2013,pop_2013,black_2014,pop_2014,black_2016,pop_2016,black_2017,pop_2017
1,60.3,71935,48,73364,33.9,76197,31.6,79145,31.4,81637,30.1,82898,28.6,83598
2,26.6,67101,19.9,68869,13,79915,8.8,75186,9,75780,8.8,76956,9.1,77940
3,5.5,73209,5.8,73718,5.2,77152,5.5,80544,6,82795,7,83237,6.8,84021
4,79.9,77564,70.7,74092,61.1,75773,58.8,79111,58.6,82375,55.3,84065,54.3,84643
5,87,83501,86.7,72527,78.1,74308,74.9,79342,72.8,80307,68,85469,66.4,86136
6,65.5,71168,62.7,68035,42.8,76598,40.3,83821,36.7,82092,34.1,87480,32.5,91093
7,97,79691,96.8,70540,96.6,71068,95.6,65777,94.4,70064,93.8,75796,93.1,79800
8,91.6,82731,92.4,70914,95.1,70712,94,76445,93.7,78686,90.9,83108,90.8,85160
