year,tenure_f,ttrack_f,nonttrack_f,ptime_f,tenure_m,ttrack_m,nonttrack_m,ptime_m
1993,68444,45965,62834,164816,206450,65866,80991,190175
2003,90477,55969,99468,257788,192354,71597,114373,278427
2013,115182,60272,139362,402543,191560,64278,125748,358747
